2025-10-19 21:57:18.034 INFO  [background-preinit] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-10-19 21:57:18.080 INFO  [main] c.u.t.A.AsgardComicsApplication - Starting AsgardComicsApplication using Java 17.0.16 with PID 37232 (C:\Users\hole0\Asgard Comics\Backend\target\classes started by hole0 in C:\Users\hole0\Asgard Comics)
2025-10-19 21:57:18.081 INFO  [main] c.u.t.A.AsgardComicsApplication - No active profile set, falling back to 1 default profile: "default"
2025-10-19 21:57:18.785 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-10-19 21:57:18.874 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 71 ms. Found 4 JPA repository interfaces.
2025-10-19 21:57:19.560 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-10-19 21:57:19.574 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-10-19 21:57:19.579 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-10-19 21:57:19.579 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.17]
2025-10-19 21:57:19.657 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-10-19 21:57:19.657 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1532 ms
2025-10-19 21:57:19.695 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-10-19 21:57:19.875 INFO  [main] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:testdb user=SA
2025-10-19 21:57:19.878 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-10-19 21:57:19.890 INFO  [main] o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testdb'
2025-10-19 21:57:19.917 WARN  [main] o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 354048a1-1d68-45fe-b38d-bba69959fc46

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2025-10-19 21:57:20.059 INFO  [main] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-10-19 21:57:20.113 INFO  [main] org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.1.Final
2025-10-19 21:57:20.145 INFO  [main] o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-10-19 21:57:20.353 INFO  [main] o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-10-19 21:57:20.395 WARN  [main] org.hibernate.orm.deprecation - HHH90000025: H2Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-10-19 21:57:21.244 INFO  [main] o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-10-19 21:57:21.298 INFO  [main] o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-10-19 21:57:21.787 WARN  [main] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-10-19 21:57:22.044 INFO  [main] o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@24381e4a, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6c3627c, org.springframework.security.web.context.SecurityContextHolderFilter@c950fd, org.springframework.security.web.header.HeaderWriterFilter@62536882, org.springframework.web.filter.CorsFilter@e5d9fa7, org.springframework.security.web.authentication.logout.LogoutFilter@58df2864, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3f910f36, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6421bc7e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4010f232, org.springframework.security.web.session.SessionManagementFilter@363ee411, org.springframework.security.web.access.ExceptionTranslationFilter@655b9169, org.springframework.security.web.access.intercept.AuthorizationFilter@2f51b100]
2025-10-19 21:57:22.248 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-10-19 21:57:22.270 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2025-10-19 21:57:22.281 INFO  [main] c.u.t.A.AsgardComicsApplication - Started AsgardComicsApplication in 4.638 seconds (process running for 5.062)
2025-10-19 21:58:01.626 INFO  [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-10-19 21:58:01.627 INFO  [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-10-19 21:58:01.629 INFO  [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
